scope_item_id,assessment_id,N2O,CO2,CH4,Other,total
1.0,1,3.0,624.0,1.0,0.0,628.0
1.0,3,0.0,787.0,0.0,12.0,799.0
1.0,4,0.0,19686.0,0.0,0.0,19686.0
1.0,7,1.0,17487.0,2.0,0.0,17490.0
1.0,8,0.0,918.0,0.0,0.0,918.0
1.0,10,0.0,2095.0,0.0,0.0,2095.0
1.0,11,0.0,385.0,0.0,6.0,391.0
1.0,13,1.0,358.0,0.0,0.0,359.0
1.0,13,6.0,530.0,1.0,0.0,537.0
1.0,15,0.0,2480.0,0.0,0.0,2480.0
1.0,17,0.0,915.0,0.0,0.0,915.0
1.0,18,1.0,15660.0,2.0,0.0,15663.0
1.0,20,0.0,6079.0,0.0,0.0,6079.0
1.0,20,0.0,5670.0,0.0,0.0,5670.0
1.0,23,0.0,8377.0,1.0,0.0,8378.0
1.0,24,0.0,352.0,0.0,0.0,352.0
1.0,25,44.0,1451.0,22.0,0.0,1517.0
1.0,27,11.0,1760.0,16.0,0.0,1787.0
1.0,29,0.0,303.0,0.0,0.0,303.0
1.0,31,0.0,339.0,1.0,20.0,360.0
1.0,32,0.0,0.0,0.0,0.0,0.0
1.0,33,0.0,4311.0,0.0,0.0,4311.0
1.0,34,0.0,4943.0,0.0,0.0,4943.0
1.0,35,0.0,1831.0,0.0,0.0,1831.0
1.0,36,0.0,715.0,0.0,0.0,715.0
1.0,39,0.0,4351.0,0.0,0.0,4351.0
1.0,41,0.0,1296.0,0.0,0.0,1296.0
1.0,41,0.0,1025.0,0.0,0.0,1025.0
1.0,42,0.0,544.0,0.0,0.0,544.0
1.0,43,0.0,931.0,0.0,0.0,931.0
1.0,44,1.0,16415.0,2.0,0.0,16418.0
1.0,46,0.0,11.0,0.0,0.0,11.0
1.0,46,0.0,10.0,0.0,0.0,10.0
1.0,47,1.0,12749.0,1.0,0.0,12751.0
1.0,48,0.0,2257.0,0.0,0.0,2257.0
1.0,50,0.0,10630.0,25.0,0.0,10655.0
1.0,51,0.0,350.0,0.0,0.0,350.0
1.0,52,0.0,1847.0,0.0,0.0,1847.0
1.0,53,0.0,2000.0,0.0,0.0,2000.0
1.0,54,0.0,16700.0,0.0,0.0,16700.0
1.0,55,0.0,227.0,0.0,0.0,227.0
1.0,56,0.0,11661.0,0.0,0.0,11661.0
1.0,70,2.0,34727.0,3.0,0.0,34732.0
1.0,72,0.0,91.0,0.0,0.0,91.0
1.0,77,0.0,4449.0,0.0,0.0,4449.0
1.0,77,0.0,4790.0,0.0,0.0,4790.0
1.0,82,0.0,534.0,0.0,0.0,534.0
1.0,83,0.0,54.0,0.0,0.0,54.0
1.0,91,0.0,16.0,0.0,0.0,16.0
1.0,91,0.0,57.0,0.0,0.0,57.0
1.0,92,0.0,0.0,0.0,0.0,0.0
1.0,96,0.0,1796.0,0.0,0.0,1796.0
1.0,96,0.0,1910.0,0.0,0.0,1910.0
1.0,97,0.0,6244.0,0.0,0.0,6244.0
1.0,99,0.0,175.0,0.0,0.0,175.0
1.0,106,3.0,285.0,1.0,0.0,289.0
1.0,108,19.0,1746.0,3.0,0.0,1768.0
1.0,110,24.0,2184.0,4.0,0.0,2212.0
1.0,111,19.0,1757.0,3.0,0.0,1779.0
1.0,112,0.0,454.0,0.0,7.0,461.0
1.0,112,0.0,1898.0,0.0,30.0,1928.0
1.0,114,0.0,274.0,0.0,0.0,274.0
1.0,114,0.0,883.0,0.0,0.0,883.0
1.0,123,21.0,1819.0,5.0,0.0,1845.0
1.0,123,0.0,2287.0,0.0,35.0,2322.0
1.0,132,0.0,430.0,0.0,0.0,430.0
1.0,133,0.0,0.0,0.0,0.0,0.0
1.0,134,0.0,1361.0,0.0,0.0,1361.0
1.0,139,1.0,197.0,46.0,0.0,244.0
1.0,140,0.0,203.0,0.0,0.0,203.0
1.0,140,0.0,195.0,0.0,0.0,195.0
1.0,141,4.0,649.0,7015.0,0.0,7668.0
1.0,149,5900.0,429500.0,700.0,0.0,436100.0
1.0,153,91.0,10538.0,19.0,0.0,10648.0
1.0,153,0.0,11735.0,0.0,0.0,11735.0
1.0,154,125.0,6529.0,9.0,0.0,6663.0
1.0,154,0.0,7826.0,11.0,0.0,7837.0
1.0,156,61391.0,3897129.0,9769.0,0.0,3968289.0
1.0,156,0.0,5773236.0,14749.0,0.0,5787985.0
1.0,158,0.0,1926.0,0.0,0.0,1926.0
1.0,158,0.0,1520.0,0.0,0.0,1520.0
1.0,160,0.0,1124.0,0.0,0.0,1124.0
1.0,160,0.0,1780.0,1.0,0.0,1781.0
1.0,162,0.0,849.0,0.0,0.0,849.0
1.0,162,0.0,918.0,0.0,0.0,918.0
1.0,163,0.0,462.0,0.0,0.0,462.0
1.0,163,0.0,431.0,0.0,0.0,431.0
1.0,164,0.0,528.0,0.0,0.0,528.0
1.0,164,0.0,618.0,0.0,0.0,618.0
1.0,165,0.0,0.0,0.0,0.0,
1.0,167,0.0,651.0,0.0,0.0,651.0
1.0,167,0.0,794.0,0.0,0.0,794.0
1.0,171,6888.0,8247245.0,3956.0,0.0,8258089.0
1.0,171,0.0,11107491.0,0.0,0.0,11107491.0
1.0,174,0.0,2831.0,0.0,0.0,2831.0
